** CONVERTED FROM S2.edf using edfapi 4.2.1197.0 Linux   standalone Sep 27 2024 on Sun Feb 15 14:23:17 2026
** DATE: Thu Jan  1 01:15:21 2009
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.594 Jul  6 2012
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BH7
** SERIAL NUMBER: CLO-ZAC14
** CAMERA_CONFIG: ZAC14140.SCD
** anti-saccade task by Matteo Lisi
**

MSG	4230932 BEGIN OF DESCRIPTIONS
MSG	4230932 Subject code: S2
MSG	4230932 END OF DESCRIPTIONS
INPUT	4232647	127
MSG	4232807 TRIALID 1
MSG	4232813 RECCFG CR 1000 1 1 L
MSG	4232813 ELCLCFG MTABLER
MSG	4232813 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	4232813 THRESHOLDS L 78 219
MSG	4232813 ELCL_PROC CENTROID (3)
MSG	4232813 ELCL_PCR_PARAM 5 3.0
MSG	4232814 !MODE RECORD CR 1000 1 1 L
START	4232815 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
4232929	  236.7	  510.2	  584.0	...
4232930	  239.8	  509.7	  586.0	...
4232931	  239.8	  509.7	  586.0	...
4232932	  239.3	  509.7	  585.0	...
MSG	4232933 RECORD_START
4232933	  239.1	  509.7	  585.0	...
4232934	  239.0	  509.5	  585.0	...
4232935	  239.1	  509.4	  585.0	...
4232936	  239.1	  509.4	  585.0	...
4232937	  240.1	  509.8	  585.0	...
4232938	  240.0	  510.2	  584.0	...
4232939	  238.7	  511.6	  584.0	...
4232940	  238.7	  511.6	  580.0	...
4232941	  239.4	  511.9	  580.0	...
4232942	  239.3	  511.9	  580.0	...
4232943	  239.2	  512.3	  580.0	...
4232944	  239.1	  512.6	  580.0	...
4232945	  239.0	  512.6	  581.0	...
4232946	  239.0	  512.5	  581.0	...
4232947	  239.0	  512.5	  581.0	...
4232948	  239.0	  512.2	  579.0	...
4232949	  239.0	  511.9	  579.0	...
4232950	  238.7	  510.2	  579.0	...
4232951	  239.0	  510.2	  579.0	...
4232952	  239.0	  510.5	  584.0	...
4232953	  238.5	  510.8	  584.0	...
4232954	  238.2	  512.2	  584.0	...
4232955	  239.0	  512.2	  583.0	...
4232956	  238.1	  512.2	  583.0	...
4232957	  237.2	  512.1	  584.0	...
4232958	  237.2	  512.0	  584.0	...
4232959	  238.9	  512.0	  586.0	...
4232960	  238.8	  512.5	  586.0	...
4232961	  239.7	  513.1	  586.0	...
4232962	  239.4	  513.1	  586.0	...
4232963	  239.7	  511.5	  578.0	...
4232964	  240.1	  511.5	  578.0	...
4232965	  240.3	  511.9	  584.0	...
4232966	  240.3	  512.3	  581.0	...
4232967	  240.7	  512.3	  581.0	...
4232968	  240.7	  512.4	  582.0	...
4232969	  238.9	  512.4	  582.0	...
4232970	  239.0	  512.1	  582.0	...
4232971	  239.0	  511.7	  581.0	...
4232972	  238.9	  511.8	  581.0	...
4232973	  239.1	  511.9	  583.0	...
4232974	  239.2	  512.5	  584.0	...
4232975	  238.7	  512.5	  588.0	...
4232976	  238.7	  512.6	  588.0	...
4232977	  239.5	  512.6	  588.0	...
4232978	  239.7	  511.7	  576.0	...
4232979	  237.9	  511.6	  576.0	...
4232980	  237.9	  511.6	  583.0	...
4232981	  237.9	  511.6	  582.0	...
4232982	  238.5	  511.7	  582.0	...
4232983	  238.4	  511.8	  582.0	...
4232984	  237.9	  511.8	  577.0	...
4232985	  237.8	  511.0	  577.0	...
4232986	  237.7	  510.2	  583.0	...
4232987	  236.4	  510.2	  583.0	...
4232988	  236.5	  510.1	  583.0	...
4232989	  236.4	  509.9	  583.0	...
4232990	  236.4	  509.9	  580.0	...
4232991	  237.0	  510.5	  580.0	...
4232992	  237.7	  510.5	  584.0	...
4232993	  237.5	  511.7	  584.0	...
4232994	  236.8	  511.7	  585.0	...
4232995	  236.8	  511.7	  585.0	...
4232996	  236.8	  511.1	  577.0	...
4232997	  236.7	  511.3	  577.0	...
4232998	  235.8	  511.5	  577.0	...
4232999	  235.9	  511.5	  577.0	...
4233000	  236.0	  511.0	  578.0	...
4233001	  235.9	  511.2	  578.0	...
4233002	  235.9	  511.2	  578.0	...
4233003	  237.3	  510.7	  587.0	...
4233004	  237.6	  509.1	  587.0	...
4233005	  238.0	  509.1	  587.0	...
4233006	  237.9	  509.6	  589.0	...
4233007	  238.0	  509.5	  591.0	...
4233008	  238.1	  509.5	  591.0	...
4233009	  237.0	  509.8	  589.0	...
4233010	  237.0	  509.8	  588.0	...
4233011	  235.3	  509.5	  587.0	...
4233012	  235.3	  509.5	  587.0	...
4233013	  239.6	  508.8	  585.0	...
4233014	  239.7	  508.0	  585.0	...
4233015	  240.7	  508.1	  583.0	...
4233016	  241.4	  508.2	  583.0	...
4233017	  241.3	  508.3	  588.0	...
4233018	  240.9	  508.1	  585.0	...
4233019	  240.4	  508.1	  583.0	...
4233020	  240.4	  508.1	  583.0	...
4233021	  238.6	  508.9	  589.0	...
4233022	  238.7	  508.6	  588.0	...
4233023	  239.6	  508.3	  588.0	...
4233024	  239.7	  508.3	  588.0	...
4233025	  239.3	  510.4	  586.0	...
4233026	  238.8	  510.4	  586.0	...
4233027	  239.1	  508.5	  584.0	...
4233028	  238.8	  508.5	  582.0	...
4233029	  238.8	  508.5	  582.0	...
4233030	  240.5	  508.3	  587.0	...
4233031	  240.5	  508.3	  590.0	...
4233032	  241.4	  508.7	  586.0	...
4233033	  240.8	  511.5	  586.0	...
4233034	  240.9	  511.1	  584.0	...
4233035	  241.3	  510.6	  584.0	...
4233036	  241.6	  509.9	  584.0	...
4233037	  241.6	  509.9	  584.0	...
4233038	  240.8	  509.7	  581.0	...
4233039	  240.8	  509.4	  581.0	...
4233040	  241.7	  509.3	  582.0	...
4233041	  244.0	  509.4	  584.0	...
4233042	  244.2	  508.1	  590.0	...
4233043	  243.5	  508.5	  590.0	...
4233044	  242.9	  508.5	  586.0	...
4233045	  242.9	  508.5	  586.0	...
4233046	  242.9	  508.5	  594.0	...
4233047	  242.9	  508.5	  594.0	...
4233048	  242.0	  509.2	  593.0	...
4233049	  241.9	  509.9	  593.0	...
4233050	  242.1	  509.0	  593.0	...
4233051	  241.1	  509.2	  592.0	...
4233052	  240.2	  509.3	  592.0	...
4233053	  240.1	  510.8	  590.0	...
4233054	  240.1	  510.8	  590.0	...
4233055	  239.2	  507.2	  590.0	...
4233056	  236.3	  507.1	  583.0	...
4233057	  236.2	  507.7	  583.0	...
4233058	  236.2	  507.6	  586.0	...
4233059	  236.2	  507.5	  589.0	...
4233060	  236.1	  507.5	  593.0	...
4233061	  235.6	  510.1	  590.0	...
4233062	  235.2	  510.0	  587.0	...
4233063	  235.2	  510.0	  587.0	...
4233064	  236.6	  510.1	  587.0	...
4233065	  238.7	  510.0	  588.0	...
4233066	  238.3	  509.8	  594.0	...
4233067	  238.2	  509.7	  594.0	...
4233068	  237.9	  511.4	  597.0	...
4233069	  241.0	  511.4	  595.0	...
4233070	  241.0	  511.3	  595.0	...
MSG	4233071 EVENT_FixationCheck
4233071	  240.2	  511.2	  595.0	...
4233072	  240.9	  508.3	  593.0	...
4233073	  240.9	  508.3	  593.0	...
4233074	  238.7	  509.3	  593.0	...
4233075	  238.7	  509.3	  594.0	...
4233076	  239.3	  509.9	  594.0	...
4233077	  240.0	  509.9	  591.0	...
4233078	  239.7	  507.5	  591.0	...
4233079	  239.4	  507.5	  597.0	...
4233080	  239.6	  506.4	  594.0	...
4233081	  239.9	  506.4	  591.0	...
4233082	  241.3	  506.8	  591.0	...
4233083	  241.2	  507.2	  598.0	...
4233084	  241.3	  506.9	  598.0	...
4233085	  244.0	  506.9	  599.0	...
4233086	  244.0	  510.5	  600.0	...
4233087	  244.8	  509.8	  597.0	...
4233088	  244.8	  509.8	  593.0	...
4233089	  241.9	  511.2	  593.0	...
4233090	  241.9	  511.2	  593.0	...
